Date,Dry Length (River Miles),Upstream Dry River Mile,Downstream Dry River Mile
07/10/2004,21.70,95.70,74.00
07/11/2004,10.00,162.50,152.50
07/12/2004,11.10,163.60,152.50
07/13/2004,10.90,163.40,152.50
07/14/2004,10.20,162.70,152.50
07/15/2004,11.50,164.00,152.50
07/16/2004,11.80,164.30,152.50
07/17/2004,4.30,136.30,132.00
07/18/2004,3.70,135.70,132.00
07/19/2004,11.80,164.30,152.50
07/20/2004,12.00,164.50,152.50
07/21/2004,25.80,99.80,74.00
07/22/2004,3.30,135.30,132.00
07/23/2004,3.80,135.80,132.00
07/31/2004,8.30,160.80,152.50
08/02/2004,11.50,164.00,152.50
08/03/2004,7.40,81.40,74.00
08/04/2004,3.40,155.90,152.50
08/05/2004,3.40,155.90,152.50
08/06/2004,3.40,155.90,152.50
08/07/2004,10.40,162.90,152.50
08/08/2004,11.40,163.90,152.50
08/09/2004,11.80,164.30,152.50
08/10/2004,11.80,164.30,152.50
08/11/2004,42.20,116.20,74.00
08/12/2004,14.10,88.10,74.00
08/13/2004,12.10,164.60,152.50
08/14/2004,12.40,164.90,152.50
08/15/2004,12.30,164.80,152.50
08/16/2004,2.30,134.30,132.00
08/22/2004,12.40,164.90,152.50
08/23/2004,14.90,167.40,152.50
08/24/2004,14.00,166.50,152.50
08/25/2004,14.80,167.30,152.50
08/27/2004,14.80,167.30,152.50
08/28/2004,3.40,135.40,132.00
08/29/2004,14.30,166.80,152.50
09/01/2004,30.50,104.50,74.00
09/03/2004,31.80,105.80,74.00
09/07/2004,3.40,135.40,132.00
09/08/2004,11.10,163.60,152.50
09/09/2004,34.90,108.90,74.00
09/10/2004,36.10,110.10,74.00
09/11/2004,35.50,109.50,74.00
09/12/2004,25.10,99.10,74.00
09/13/2004,35.10,109.10,74.00
09/14/2004,35.10,109.10,74.00
09/15/2004,35.80,109.80,74.00
09/16/2004,5.00,137.00,132.00
09/17/2004,36.00,110.00,74.00
09/18/2004,36.00,110.00,74.00
09/19/2004,35.10,109.10,74.00
09/20/2004,35.10,109.10,74.00
09/21/2004,35.10,109.10,74.00
09/22/2004,11.30,163.80,152.50
09/23/2004,11.80,164.30,152.50
09/24/2004,12.00,164.50,152.50
09/25/2004,34.20,108.20,74.00
09/26/2004,12.40,164.90,152.50
09/27/2004,33.60,107.60,74.00
09/29/2004,25.80,99.80,74.00
09/30/2004,33.60,107.60,74.00
10/01/2004,35.10,109.10,74.00
10/02/2004,35.10,109.10,74.00
10/03/2004,30.50,104.50,74.00
10/04/2004,23.40,97.40,74.00
10/05/2004,20.80,94.80,74.00
10/06/2004,30.50,104.50,74.00
07/23/2005,14.70,72.20,57.50
07/24/2005,2.20,76.20,74.00
07/26/2005,3.50,77.50,74.00
07/27/2005,3.50,77.50,74.00
07/28/2005,7.60,81.60,74.00
07/29/2005,10.40,84.40,74.00
07/30/2005,11.80,85.80,74.00
07/31/2005,10.80,84.80,74.00
08/01/2005,10.80,84.80,74.00
08/02/2005,17.00,91.00,74.00
08/03/2005,17.40,91.40,74.00
08/04/2005,17.60,91.60,74.00
08/05/2005,18.70,92.70,74.00
08/06/2005,11.10,85.10,74.00
08/07/2005,18.40,92.40,74.00
08/08/2005,17.10,91.10,74.00
08/09/2005,18.30,92.30,74.00
08/10/2005,18.60,92.60,74.00
08/11/2005,18.10,92.10,74.00
08/13/2005,1.80,75.80,74.00
08/14/2005,15.10,72.60,57.50
08/15/2005,12.00,69.50,57.50
08/16/2005,10.30,67.80,57.50
08/24/2005,14.60,72.10,57.50
08/27/2005,2.80,155.30,152.50
08/28/2005,3.40,155.90,152.50
08/29/2005,9.00,83.00,74.00
08/30/2005,8.10,82.10,74.00
08/31/2005,7.90,81.90,74.00
09/01/2005,7.90,81.90,74.00
09/02/2005,7.90,81.90,74.00
09/03/2005,8.90,82.90,74.00
09/14/2005,6.00,80.00,74.00
09/15/2005,16.60,90.60,74.00
09/16/2005,16.00,90.00,74.00
09/17/2005,16.90,90.90,74.00
09/18/2005,17.10,91.10,74.00
09/19/2005,16.90,90.90,74.00
09/20/2005,17.20,91.20,74.00
09/21/2005,19.50,93.50,74.00
09/23/2005,10.60,84.60,74.00
09/24/2005,0.00,152.50,152.50
09/26/2005,20.40,94.40,74.00
09/27/2005,20.60,94.60,74.00
09/28/2005,21.90,95.90,74.00
09/29/2005,20.90,94.90,74.00
09/30/2005,14.60,72.10,57.50
10/30/2005,1.10,58.60,57.50
10/31/2005,15.00,72.50,57.50
05/22/2006,4.40,78.40,74.00
05/23/2006,4.30,78.30,74.00
05/24/2006,2.60,76.60,74.00
05/25/2006,0.60,74.60,74.00
05/26/2006,0.50,74.50,74.00
05/27/2006,0.80,74.80,74.00
06/15/2006,1.60,75.60,74.00
06/16/2006,2.80,76.80,74.00
06/17/2006,7.40,81.40,74.00
06/18/2006,7.80,81.80,74.00
06/19/2006,7.40,81.40,74.00
06/20/2006,8.10,82.10,74.00
06/21/2006,7.60,81.60,74.00
06/22/2006,9.00,83.00,74.00
06/23/2006,10.00,84.00,74.00
06/24/2006,11.70,85.70,74.00
06/25/2006,14.10,88.10,74.00
06/26/2006,15.60,89.60,74.00
07/06/2006,6.00,80.00,74.00
07/20/2006,7.00,159.50,152.50
07/23/2006,13.10,87.10,74.00
07/24/2006,10.20,84.20,74.00
07/25/2006,12.90,86.90,74.00
07/26/2006,18.30,92.30,74.00
07/27/2006,10.30,84.30,74.00
09/19/2006,1.80,75.80,74.00
09/21/2006,9.30,83.30,74.00
09/22/2006,7.00,81.00,74.00
09/23/2006,6.50,80.50,74.00
09/24/2006,6.30,80.30,74.00
09/25/2006,6.50,80.50,74.00
09/26/2006,2.40,154.90,152.50
09/27/2006,2.40,154.90,152.50
09/28/2006,1.50,154.00,152.50
09/29/2006,1.50,154.00,152.50
09/30/2006,9.20,83.20,74.00
10/01/2006,14.30,88.30,74.00
10/04/2006,12.30,86.30,74.00
10/05/2006,3.70,156.20,152.50
10/06/2006,4.20,156.70,152.50
10/07/2006,16.00,90.00,74.00
10/08/2006,15.80,89.80,74.00
06/30/2007,2.50,76.50,74.00
07/01/2007,2.50,76.50,74.00
07/02/2007,10.50,84.50,74.00
07/03/2007,10.50,84.50,74.00
07/04/2007,14.00,88.00,74.00
07/05/2007,11.50,85.50,74.00
07/06/2007,10.00,84.00,74.00
07/07/2007,0.00,74.00,74.00
07/09/2007,6.60,159.10,152.50
07/14/2007,14.50,88.50,74.00
07/15/2007,16.00,90.00,74.00
07/16/2007,16.00,90.00,74.00
07/17/2007,16.00,90.00,74.00
07/18/2007,17.50,91.50,74.00
07/19/2007,19.00,93.00,74.00
07/20/2007,21.00,95.00,74.00
07/23/2007,24.00,98.00,74.00
07/24/2007,22.00,96.00,74.00
07/25/2007,9.50,83.50,74.00
08/02/2007,4.00,78.00,74.00
08/12/2007,1.50,154.00,152.50
08/13/2007,0.50,153.00,152.50
08/14/2007,1.50,154.00,152.50
08/15/2007,3.00,155.50,152.50
08/16/2007,6.00,158.50,152.50
08/17/2007,6.00,96.50,90.50
08/18/2007,0.50,91.00,90.50
08/19/2007,5.00,89.00,84.00
08/20/2007,6.00,80.00,74.00
08/21/2007,15.50,89.50,74.00
08/22/2007,15.50,89.50,74.00
08/23/2007,16.50,90.50,74.00
08/24/2007,16.50,90.50,74.00
08/25/2007,18.00,92.00,74.00
08/26/2007,9.00,85.50,76.50
08/27/2007,9.50,86.00,76.50
08/28/2007,4.50,157.00,152.50
08/29/2007,17.00,91.00,74.00
08/30/2007,0.00,152.50,152.50
08/31/2007,6.00,158.50,152.50
09/01/2007,2.50,155.00,152.50
09/02/2007,0.50,153.00,152.50
09/06/2007,6.50,159.00,152.50
09/07/2007,7.00,159.50,152.50
09/08/2007,7.50,160.00,152.50
09/09/2007,8.50,161.00,152.50
09/10/2007,8.50,161.00,152.50
09/11/2007,0.00,152.50,152.50
09/12/2007,0.00,152.50,152.50
09/13/2007,0.00,152.50,152.50
09/14/2007,0.00,152.50,152.50
09/15/2007,0.00,152.50,152.50
09/16/2007,0.00,152.50,152.50
09/17/2007,0.00,152.50,152.50
09/18/2007,8.50,161.00,152.50
09/19/2007,0.00,152.50,152.50
09/20/2007,16.50,90.50,74.00
09/29/2007,7.00,159.50,152.50
09/30/2007,7.50,160.00,152.50
10/03/2007,8.50,82.50,74.00
10/04/2007,4.50,78.50,74.00
10/05/2007,3.50,156.00,152.50
10/06/2007,8.00,82.00,74.00
10/09/2007,8.00,82.00,74.00
10/10/2007,7.00,81.00,74.00
10/11/2007,3.00,155.50,152.50
10/12/2007,3.00,155.50,152.50
10/13/2007,3.00,155.50,152.50
10/14/2007,2.50,155.00,152.50
10/15/2007,2.50,155.00,152.50
10/16/2007,2.50,155.00,152.50
10/17/2007,3.00,155.50,152.50
10/18/2007,2.50,155.00,152.50
10/19/2007,4.50,157.00,152.50
10/20/2007,5.50,158.00,152.50
10/21/2007,6.50,159.00,152.50
10/22/2007,7.50,160.00,152.50
10/23/2007,7.50,160.00,152.50
10/24/2007,4.50,157.00,152.50
10/25/2007,6.50,159.00,152.50
10/26/2007,7.00,159.50,152.50
10/27/2007,6.50,159.00,152.50
10/28/2007,6.50,159.00,152.50
10/29/2007,6.50,158.50,152.00
10/30/2007,6.00,158.50,152.50
10/31/2007,7.50,160.00,152.50
08/13/2008,0.00,149.50,149.50
08/14/2008,0.00,149.50,149.50
08/15/2008,3.00,152.50,149.50
08/16/2008,3.50,134.00,130.50
07/19/2009,0.00,74.00,74.00
07/20/2009,5.00,79.00,74.00
07/21/2009,5.50,79.50,74.00
07/22/2009,6.00,80.00,74.00
07/23/2009,8.00,82.00,74.00
07/24/2009,8.00,82.00,74.00
07/25/2009,6.00,80.00,74.00
07/26/2009,4.50,78.50,74.00
07/27/2009,3.50,77.50,74.00
07/28/2009,2.50,76.50,74.00
08/06/2009,7.50,82.00,74.50
08/07/2009,4.50,79.00,74.50
08/08/2009,5.00,79.50,74.50
08/09/2009,9.50,84.00,74.50
08/10/2009,4.50,79.00,74.50
08/11/2009,0.00,74.50,74.50
08/12/2009,9.50,84.00,74.50
08/13/2009,8.00,82.50,74.50
08/14/2009,8.50,83.00,74.50
08/15/2009,6.50,81.00,74.50
08/16/2009,6.50,81.00,74.50
08/17/2009,6.00,80.50,74.50
08/18/2009,3.00,77.50,74.50
08/21/2009,0.50,75.00,74.50
08/22/2009,5.00,90.00,85.00
08/23/2009,6.50,81.00,74.50
08/24/2009,9.50,84.00,74.50
08/25/2009,5.50,80.00,74.50
09/03/2009,7.00,81.50,74.50
09/04/2009,7.00,81.50,74.50
09/05/2009,7.50,82.00,74.50
09/06/2009,7.50,82.00,74.50
09/07/2009,6.00,80.50,74.50
10/04/2009,7.00,81.50,74.50
10/05/2009,2.50,77.00,74.50
10/06/2009,2.50,77.00,74.50
10/07/2009,7.50,82.00,74.50
10/08/2009,7.50,82.00,74.50
10/09/2009,3.50,78.00,74.50
10/10/2009,3.50,78.00,74.50
10/11/2009,3.50,78.00,74.50
10/12/2009,2.50,77.00,74.50
10/18/2009,3.50,78.00,74.50
06/28/2010,10.00,84.00,74.00
07/11/2010,5.50,79.50,74.00
07/12/2010,3.50,77.50,74.00
07/13/2010,5.00,79.00,74.00
07/14/2010,7.50,81.50,74.00
07/15/2010,9.50,83.50,74.00
07/16/2010,9.50,83.50,74.00
07/17/2010,11.00,85.00,74.00
07/18/2010,12.50,86.50,74.00
07/19/2010,15.00,89.00,74.00
07/20/2010,16.00,90.00,74.00
07/21/2010,10.50,84.50,74.00
07/22/2010,16.00,90.00,74.00
07/23/2010,0.00,74.00,74.00
07/24/2010,5.00,79.00,74.00
08/14/2010,1.00,155.00,154.00
08/15/2010,1.50,155.50,154.00
08/16/2010,2.00,155.50,153.50
08/21/2010,1.00,155.00,154.00
08/22/2010,2.00,155.50,153.50
08/23/2010,3.50,156.00,152.50
08/27/2010,2.50,155.50,153.00
08/28/2010,3.50,156.00,152.50
08/29/2010,4.00,156.50,152.50
08/30/2010,4.50,78.50,74.00
08/31/2010,7.00,81.00,74.00
09/02/2010,7.00,81.00,74.00
09/03/2010,7.50,81.50,74.00
09/04/2010,5.00,79.00,74.00
09/05/2010,7.00,81.00,74.00
09/06/2010,10.00,84.00,74.00
09/07/2010,14.00,88.00,74.00
09/08/2010,16.50,90.50,74.00
09/09/2010,17.00,91.00,74.00
09/10/2010,17.50,91.50,74.00
09/11/2010,17.50,91.50,74.00
09/12/2010,17.50,91.50,74.00
09/13/2010,17.00,91.00,74.00
09/14/2010,16.50,90.50,74.00
09/15/2010,16.50,90.50,74.00
09/16/2010,16.50,90.50,74.00
09/17/2010,16.50,90.50,74.00
09/18/2010,16.50,90.50,74.00
09/19/2010,20.00,94.00,74.00
09/20/2010,20.50,94.50,74.00
09/21/2010,19.50,93.50,74.00
09/22/2010,17.50,91.50,74.00
09/23/2010,16.00,90.00,74.00
09/24/2010,7.00,81.00,74.00
10/02/2010,3.00,155.50,152.50
10/03/2010,14.00,88.00,74.00
10/04/2010,14.00,88.00,74.00
10/05/2010,12.00,86.00,74.00
10/06/2010,12.00,86.00,74.00
10/07/2010,2.50,76.50,74.00
10/08/2010,7.00,159.50,152.50
10/09/2010,0.00,74.00,74.00
10/10/2010,15.50,89.50,74.00
10/11/2010,15.50,89.50,74.00
10/12/2010,15.50,89.50,74.00
10/13/2010,15.50,89.50,74.00
10/14/2010,15.00,89.00,74.00
10/15/2010,15.00,89.00,74.00
10/16/2010,12.50,86.50,74.00
10/17/2010,14.00,88.00,74.00
10/18/2010,15.50,89.50,74.00
10/19/2010,12.00,86.00,74.00
10/20/2010,12.50,86.50,74.00
10/21/2010,11.00,85.00,74.00
10/22/2010,9.50,83.50,74.00
10/27/2010,0.50,153.00,152.50
04/22/2011,7.50,81.50,74.00
04/23/2011,5.50,79.50,74.00
04/24/2011,1.00,75.00,74.00
04/25/2011,0.00,74.00,74.00
06/25/2011,5.00,79.00,74.00
06/26/2011,8.00,82.00,74.00
06/27/2011,9.00,83.00,74.00
06/28/2011,10.50,84.50,74.00
06/29/2011,13.00,87.00,74.00
06/30/2011,15.50,89.50,74.00
07/01/2011,18.50,92.50,74.00
07/02/2011,20.00,94.00,74.00
07/03/2011,21.50,95.50,74.00
07/04/2011,21.50,95.50,74.00
07/05/2011,22.50,96.50,74.00
07/06/2011,23.50,97.50,74.00
07/07/2011,24.00,98.00,74.00
07/08/2011,24.00,98.00,74.00
07/09/2011,24.00,98.00,74.00
07/10/2011,24.50,98.50,74.00
07/11/2011,25.00,99.00,74.00
07/12/2011,25.00,99.00,74.00
07/13/2011,25.00,99.00,74.00
07/14/2011,25.00,99.00,74.00
07/15/2011,25.00,99.00,74.00
07/16/2011,25.00,99.00,74.00
07/17/2011,25.00,99.00,74.00
07/18/2011,25.00,99.00,74.00
07/19/2011,25.00,99.00,74.00
07/20/2011,25.00,99.00,74.00
07/21/2011,25.00,99.00,74.00
07/22/2011,25.00,99.00,74.00
07/23/2011,25.00,99.00,74.00
07/24/2011,25.00,99.00,74.00
07/25/2011,25.00,99.00,74.00
07/26/2011,25.00,99.00,74.00
07/27/2011,26.50,100.50,74.00
07/30/2011,3.00,156.00,153.00
07/31/2011,3.00,155.50,152.50
08/01/2011,3.00,155.00,152.00
08/08/2011,5.00,157.50,152.50
08/09/2011,6.00,158.50,152.50
08/10/2011,7.00,159.00,152.00
08/11/2011,18.50,92.50,74.00
08/12/2011,24.50,98.50,74.00
08/13/2011,24.50,98.50,74.00
08/14/2011,24.50,98.50,74.00
08/15/2011,26.00,100.00,74.00
08/16/2011,26.50,100.50,74.00
08/17/2011,27.00,101.00,74.00
08/18/2011,27.00,101.00,74.00
08/19/2011,10.00,84.00,74.00
08/20/2011,2.00,154.50,152.50
08/30/2011,10.50,163.00,152.50
09/01/2011,11.50,164.00,152.50
09/02/2011,12.50,165.00,152.50
09/03/2011,12.50,165.00,152.50
09/04/2011,12.50,165.00,152.50
09/05/2011,11.00,163.50,152.50
09/06/2011,12.50,165.00,152.50
09/07/2011,10.50,163.00,152.50
09/08/2011,10.50,163.00,152.50
09/10/2011,10.50,163.00,152.50
09/11/2011,10.50,163.00,152.50
09/13/2011,10.50,163.00,152.50
09/15/2011,10.00,162.50,152.50
09/16/2011,7.00,159.50,152.50
09/17/2011,9.50,162.00,152.50
09/18/2011,7.50,160.00,152.50
09/19/2011,6.50,159.00,152.50
09/20/2011,9.50,162.00,152.50
09/21/2011,9.50,162.00,152.50
09/22/2011,9.50,162.00,152.50
09/23/2011,9.50,162.00,152.50
09/24/2011,10.00,162.50,152.50
09/25/2011,10.00,162.50,152.50
09/27/2011,1.50,79.00,77.50
09/28/2011,10.00,84.00,74.00
09/29/2011,19.50,93.50,74.00
09/30/2011,19.50,93.50,74.00
10/01/2011,20.00,94.00,74.00
10/02/2011,20.50,94.50,74.00
10/03/2011,20.50,94.50,74.00
10/04/2011,20.00,94.00,74.00
10/05/2011,20.50,94.50,74.00
10/06/2011,3.00,155.00,152.00
10/07/2011,2.50,155.00,152.50
10/08/2011,1.00,153.50,152.50
10/18/2011,1.00,154.50,153.50
10/19/2011,9.50,162.00,152.50
10/20/2011,8.50,161.00,152.50
10/21/2011,8.50,161.00,152.50
10/22/2011,13.00,87.00,74.00
10/23/2011,10.50,84.50,74.00
10/24/2011,13.00,87.00,74.00
10/25/2011,13.00,87.00,74.00
10/26/2011,12.50,86.50,74.00
10/27/2011,12.50,86.50,74.00
10/28/2011,10.00,84.00,74.00
10/29/2011,9.50,83.50,74.00
10/30/2011,5.50,79.50,74.00
10/31/2011,4.50,78.50,74.00
06/16/2012,7.50,81.50,74.00
06/17/2012,7.50,81.50,74.00
06/18/2012,7.50,81.50,74.00
06/19/2012,9.00,83.00,74.00
06/20/2012,10.00,84.00,74.00
06/21/2012,12.50,86.50,74.00
06/22/2012,11.50,85.50,74.00
06/23/2012,15.00,89.00,74.00
06/24/2012,15.50,89.50,74.00
06/25/2012,17.00,91.00,74.00
06/26/2012,17.00,91.00,74.00
06/27/2012,17.50,91.50,74.00
06/28/2012,19.00,93.00,74.00
06/29/2012,20.50,94.50,74.00
06/30/2012,22.00,96.00,74.00
07/01/2012,22.00,96.00,74.00
07/02/2012,22.50,96.50,74.00
07/03/2012,23.50,97.50,74.00
07/04/2012,24.00,98.00,74.00
07/05/2012,24.00,98.00,74.00
07/06/2012,24.00,98.00,74.00
07/07/2012,20.00,94.00,74.00
07/08/2012,22.00,96.00,74.00
07/09/2012,20.50,94.50,74.00
07/11/2012,0.50,154.00,153.50
07/15/2012,0.00,153.50,153.50
07/16/2012,4.00,156.50,152.50
07/17/2012,5.50,157.50,152.00
07/18/2012,6.00,158.50,152.50
07/19/2012,6.50,158.50,152.00
07/20/2012,7.50,81.50,74.00
07/21/2012,16.00,90.00,74.00
07/22/2012,22.00,96.00,74.00
07/23/2012,22.00,96.00,74.00
07/24/2012,24.50,98.50,74.00
07/25/2012,25.00,99.00,74.00
07/26/2012,27.50,101.50,74.00
07/27/2012,27.50,101.50,74.00
07/28/2012,27.50,101.50,74.00
07/29/2012,27.50,101.50,74.00
07/30/2012,29.00,103.00,74.00
07/31/2012,25.00,99.00,74.00
08/01/2012,0.00,74.00,74.00
08/02/2012,18.50,92.50,74.00
08/03/2012,19.00,93.00,74.00
08/04/2012,28.00,102.00,74.00
08/05/2012,13.00,87.00,74.00
08/06/2012,3.00,77.00,74.00
08/07/2012,29.00,103.00,74.00
08/08/2012,30.00,104.00,74.00
08/09/2012,30.50,104.50,74.00
08/10/2012,31.50,105.50,74.00
08/11/2012,31.50,105.50,74.00
08/12/2012,31.50,105.50,74.00
08/13/2012,31.50,105.50,74.00
08/14/2012,31.50,105.50,74.00
08/15/2012,31.50,105.50,74.00
08/16/2012,31.50,105.50,74.00
08/17/2012,31.50,105.50,74.00
08/18/2012,31.50,105.50,74.00
08/19/2012,25.00,99.00,74.00
08/20/2012,31.00,105.00,74.00
08/21/2012,28.50,102.50,74.00
08/22/2012,23.50,97.50,74.00
08/23/2012,16.00,90.00,74.00
08/24/2012,10.00,84.00,74.00
08/25/2012,12.50,165.00,152.50
08/26/2012,12.50,165.00,152.50
08/27/2012,12.50,165.00,152.50
08/28/2012,13.00,165.50,152.50
08/29/2012,0.50,134.00,133.50
08/30/2012,4.00,137.00,133.00
08/31/2012,3.00,77.00,74.00
09/01/2012,13.00,87.00,74.00
09/02/2012,20.00,94.00,74.00
09/03/2012,22.00,96.00,74.00
09/04/2012,22.50,96.50,74.00
09/05/2012,24.00,98.00,74.00
09/06/2012,24.00,98.00,74.00
09/07/2012,24.50,98.50,74.00
09/08/2012,30.00,104.00,74.00
09/09/2012,30.00,104.00,74.00
09/10/2012,30.00,104.00,74.00
09/11/2012,30.00,104.00,74.00
09/12/2012,30.00,104.00,74.00
09/13/2012,12.50,164.50,152.00
09/14/2012,12.00,164.50,152.50
09/15/2012,2.50,135.50,133.00
09/16/2012,13.00,164.50,151.50
09/17/2012,4.00,137.00,133.00
09/18/2012,13.00,87.00,74.00
09/19/2012,25.00,99.00,74.00
09/20/2012,24.00,98.00,74.00
09/21/2012,25.00,99.00,74.00
09/22/2012,24.00,98.00,74.00
09/23/2012,26.00,100.00,74.00
09/24/2012,26.00,100.00,74.00
09/25/2012,26.00,100.00,74.00
09/26/2012,26.00,100.00,74.00
09/27/2012,26.00,100.00,74.00
09/28/2012,26.00,100.00,74.00
09/29/2012,26.50,100.50,74.00
09/30/2012,26.50,100.50,74.00
10/01/2012,26.50,100.50,74.00
10/02/2012,26.50,100.50,74.00
10/03/2012,26.50,100.50,74.00
10/04/2012,26.50,100.50,74.00
10/05/2012,26.50,100.50,74.00
10/06/2012,26.50,100.50,74.00
10/07/2012,26.50,100.50,74.00
10/08/2012,26.50,100.50,74.00
10/09/2012,26.50,100.50,74.00
10/10/2012,26.50,100.50,74.00
10/11/2012,26.50,100.50,74.00
10/12/2012,26.50,100.50,74.00
10/13/2012,25.50,99.50,74.00
10/14/2012,25.50,99.50,74.00
10/15/2012,25.50,99.50,74.00
10/16/2012,13.50,87.50,74.00
10/17/2012,12.00,86.00,74.00
10/18/2012,18.50,92.50,74.00
10/19/2012,18.50,92.50,74.00
10/20/2012,18.50,92.50,74.00
10/21/2012,17.00,91.00,74.00
10/22/2012,17.00,91.00,74.00
10/23/2012,17.00,91.00,74.00
10/24/2012,16.00,90.00,74.00
10/25/2012,14.00,88.00,74.00
10/26/2012,13.50,87.50,74.00
10/27/2012,13.50,87.50,74.00
10/28/2012,13.50,87.50,74.00
10/29/2012,13.50,87.50,74.00
10/30/2012,13.00,87.00,74.00
10/31/2012,13.00,87.00,74.00
06/03/2013,3.00,77.00,74.00
06/04/2013,4.00,78.00,74.00
06/05/2013,7.50,81.50,74.00
06/06/2013,9.00,83.00,74.00
06/07/2013,9.50,83.50,74.00
06/08/2013,10.00,84.00,74.00
06/09/2013,11.50,85.50,74.00
06/10/2013,13.00,87.00,74.00
06/11/2013,14.50,88.50,74.00
06/12/2013,14.00,88.00,74.00
06/13/2013,15.00,89.00,74.00
06/14/2013,16.00,90.00,74.00
06/15/2013,17.00,91.00,74.00
06/16/2013,19.00,93.00,74.00
06/17/2013,19.00,93.00,74.00
06/18/2013,19.50,93.50,74.00
06/19/2013,20.50,94.50,74.00
06/20/2013,21.00,95.00,74.00
06/21/2013,22.00,96.00,74.00
06/22/2013,22.00,96.00,74.00
06/23/2013,23.00,97.00,74.00
06/24/2013,23.50,97.50,74.00
06/25/2013,23.50,97.50,74.00
06/26/2013,24.00,98.00,74.00
06/27/2013,24.00,98.00,74.00
06/28/2013,24.50,98.50,74.00
06/29/2013,25.00,99.00,74.00
06/30/2013,25.00,99.00,74.00
07/01/2013,24.50,98.50,74.00
07/02/2013,24.50,98.50,74.00
07/03/2013,11.00,85.00,74.00
07/04/2013,23.00,97.00,74.00
07/05/2013,12.50,86.50,74.00
07/06/2013,10.00,84.00,74.00
07/07/2013,24.50,98.50,74.00
07/08/2013,24.50,98.50,74.00
07/09/2013,20.00,94.00,74.00
07/10/2013,5.50,157.50,152.00
07/11/2013,13.50,87.50,74.00
07/12/2013,5.50,158.00,152.50
07/13/2013,5.00,157.50,152.50
07/14/2013,5.00,157.50,152.50
07/15/2013,3.50,156.00,152.50
07/16/2013,3.50,156.00,152.50
07/17/2013,3.50,156.00,152.50
07/18/2013,3.50,156.00,152.50
07/19/2013,3.00,155.50,152.50
07/20/2013,3.50,155.50,152.00
07/23/2013,0.00,158.00,158.00
07/24/2013,3.00,155.50,152.50
07/25/2013,2.00,154.50,152.50
07/26/2013,1.50,154.00,152.50
08/09/2013,0.00,153.50,153.50
08/15/2013,3.00,156.00,153.00
08/16/2013,4.50,157.50,153.00
08/17/2013,4.50,157.50,153.00
08/18/2013,5.00,157.00,152.00
08/19/2013,5.50,157.50,152.00
08/20/2013,5.50,157.50,152.00
08/21/2013,10.00,84.00,74.00
08/22/2013,12.50,86.50,74.00
08/23/2013,20.50,94.50,74.00
08/24/2013,20.50,94.50,74.00
08/25/2013,20.50,94.50,74.00
08/26/2013,20.50,94.50,74.00
08/27/2013,0.00,133.50,133.50
08/28/2013,0.00,133.50,133.50
08/29/2013,0.50,133.50,133.00
